"location","population_size"
"More developed: Northern America",368869.644
"More developed: Oceania",30322.114
"Morocco",36910.558
"Mozambique",31255.435
"Burma",54409.794
"Namibia",2540.916
"Nauru",10.834
"Nepal",29136.808
"Netherlands",17134.873
"Netherlands (and dependencies)",17474.842
"New Caledonia",285.491
"New EU member states (joined since 2004)",103629.839
"New Zealand",4822.233
"New Zealand (and dependencies)",4842.765
"Nicaragua",6624.554
"Niger",24206.636
"Nigeria",206139.587
"Niue",1.618
"No income group available",2943.568
"Non-Self-Governing Territories",1753.672
"North American Free Trade Agreement (NAFTA)",497677.557
"North Atlantic Treaty Organization (NATO)",944255.667
"North Macedonia",2083.38
"Northern Africa",246232.508
"Northern Africa and Western Asia",525869.282
"Northern America",368869.644
"Northern America",368869.644
"Northern Europe",106261.271
"Northern Mariana Islands",57.557
"Norway",5421.242
"Oceania",42677.809
"Oceania (excluding Australia and New Zealand)",12355.695
"Oman",5106.622
"Organisation for Economic Co-operation and Development (OECD)",1313469.47
"Organization for Security and Co-operation in Europe (OSCE)",1296294.632
"Organization of American States (OAS)",1018121.127
"Organization of Petroleum Exporting countries (OPEC)",518144.279
"Organization of the Islamic Conference (OIC)",1907530.488
"Pakistan",220892.331
"Palau",18.092
"Panama",4314.768
"Papua New Guinea",8947.027
"Paraguay",7132.53
"Peru",32971.846
"Philippines",109581.085
"Poland",37846.605
"Polynesia",683.778
"Portugal",10196.707
"Puerto Rico",2860.84
"Qatar",2881.06
"Korea, South",51269.183
"Moldova",4033.963
"Romania",19237.682
"Russia",145934.46
"Rwanda",12952.209
"Réunion",895.308
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",16226.846
"SIDS Caribbean",43506.153
"SIDS Pacific",12343.099
"Saint Barthélemy",9.885
"Saint Helena",6.071
"Saint Kitts and Nevis",53.192
"Saint Lucia",183.629
"Saint Martin (French part)",38.659
"Saint Pierre and Miquelon",5.795
"Saint Vincent and the Grenadines",110.947
"Samoa",198.41
"San Marino",33.938
"Sao Tome and Principe",219.161
"Saudi Arabia",34813.867
"Senegal",16743.93
"Serbia",8737.37
"Seychelles",98.34
"Shanghai Cooperation Organization (SCO)",3254462.689
"Sierra Leone",7976.985
"Singapore",5850.343
"Sint Maarten (Dutch part)",42.882
"Slovakia",5459.643
"Slovenia",2078.932
"Small Island Developing States (SIDS)",72076.098
"Solomon Islands",686.878
"Somalia",15893.219
"South Africa",59308.69
"South America",430759.772
"South Asian Association for Regional Cooperation (SAARC)",1856376.652
"South Sudan",11193.729
"South-Eastern Asia",668619.854
"Southern Africa",67503.647
"Southern African Development Community (SADC)",363228.526
"Southern Asia",1940369.605
"Southern Common Market (MERCOSUR)",308470.415
"Southern Europe",152215.243
"Spain",46754.783
"Sri Lanka",21413.25
"State of Palestine",5101.416
"Sub-Saharan Africa",1094365.605
"Sudan",43849.269
"Suriname",586.634
"Sweden",10099.27
"Switzerland",8654.618
"Syria",17500.657
"Tajikistan",9537.642
"Thailand",69799.978
"Timor-Leste",1318.442
"Togo",8278.737
"Tokelau",1.35
"Tonga",105.697
"Trinidad and Tobago",1399.491
"Tunisia",11818.618
"Turkey",84339.067
"Turkmenistan",6031.187
"Turks and Caicos Islands",38.718
"Tuvalu",11.792
"UN-ECE: member countries",1301671.072
"UNFPA Regions",6435966.035
"UNFPA: Arab States (AS)",377302.147
"UNFPA: Asia and the Pacific (AP)",4082579.031
"UNFPA: East and Southern Africa (ESA)",617189.215
"UNFPA: Eastern Europe and Central Asia (EECA)",249965.985
"UNFPA: Latin America and the Caribbean (LAC)",649907.02
"UNFPA: West and Central Africa (WCA)",459022.637
"UNICEF PROGRAMME REGIONS",6518336.209
"UNICEF Programme Regions: East Asia and Pacific (EAPRO)",2142209.426
"UNICEF Programme Regions: Eastern Caribbean",2406.024
"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)",542249.263
"UNICEF Programme Regions: Europe and Central Asia (CEECIS)",280885.442
"UNICEF Programme Regions: Latin America",646666.007
"UNICEF Programme Regions: Latin America and Caribbean (LACRO)",649072.031
"UNICEF Programme Regions: Middle East and North Africa (MENARO)",498959.354
"UNICEF Programme Regions: South Asia (ROSA)",1856376.652
"UNICEF Programme Regions: West and Central Africa (WCARO)",548584.041
"UNICEF REGIONS",7794798.729
"UNICEF Regions: East Asia and Pacific",2389387.29
"UNICEF Regions: Eastern Europe and Central Asia",426819.902
"UNICEF Regions: Eastern and Southern Africa",589624.762
"UNICEF Regions: Europe and Central Asia",924612.983
"UNICEF Regions: Latin America and Caribbean",653962.332
"UNICEF Regions: Middle East and North Africa",463374.954
"UNICEF Regions: North America",368869.644
"UNICEF Regions: South Asia",1856376.652
"UNICEF Regions: Sub-Saharan Africa",1138214.874
"UNICEF Regions: West and Central Africa",548590.112
"UNICEF Regions: Western Europe",497793.081
"UNITED NATIONS Regional Groups of Member States",7789099.185
"Uganda",45741
"Ukraine",43733.759
"United Arab Emirates",9890.4
"United Kingdom",67886.004
"United Kingdom (and dependencies)",68405.089
"United Nations Economic Commission for Africa (UN-ECA)",1338826.591
"United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC)",653958.849
"United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions",4627631.561
"United Nations Member States",7789099.174
"Tanzania",59734.213
"United States Virgin Islands",104.423
"US",331002.647
"United States of America (and dependencies)",334249.447
"Upper-middle-income countries",2654816.331
"Uruguay",3473.727
"Uzbekistan",33469.199
"Vanuatu",307.15
"Venezuela",28435.943
"Vietnam",97338.583
"WB region: East Asia and Pacific (excluding high income)",2142225.999
"WB region: Europe and Central Asia (excluding high income)",422714.634
"WB region: Latin America and Caribbean (excluding high income)",575044.612
"WB region: Middle East and North Africa (excluding high income)",396445.99
"WB region: South Asia (excluding high income)",1856376.652
"WB region: Sub-Saharan Africa (excluding high income)",1135954.34
"WHO Regions",7750010.916
"WHO: African region (AFRO)",1120161.235
"WHO: Americas (AMRO)",1018121.127
"WHO: Eastern Mediterranean Region (EMRO)",725720.786
"WHO: European Region (EURO)",932888.131
"WHO: South-East Asia region (SEARO)",2021386.63
"WHO: Western Pacific region (WPRO)",1931733.007
"Wallis and Futuna Islands",11.246
"West African Economic and Monetary Union (UEMOA)",130852.886
"Western Africa",401861.255
"Western Asia",279636.774
"Western Europe",196146.321
"Western European and Others Group (WEOG)",923721.644
"Western Sahara",597.33
"World",7794798.729
"World Bank Regional Groups (developing only)",6528762.227
"Yemen",29825.968
"Zambia",18383.956
"Zimbabwe",14862.927
